exp	status	recall@3	recall@5	recall@25	recall@50	mrr@5	note
1	keep	0.1575±0.0607	0.1945±0.0719	0.2945±0.0634	0.3466±0.0572	0.1470±0.0546	baseline
2	discard	0.1603±0.0455	0.1808±0.0482	0.2603±0.0561	0.3151±0.0551	0.1457±0.0401	remove lancaster stemming
3	keep	0.1863±0.0666	0.2055±0.0733	0.3192±0.0613	0.3630±0.0613	0.1585±0.0587	lowercase
4	keep	0.1911±0.0275	0.2288±0.0336	0.3007±0.0326	0.3671±0.0324	0.1739±0.0256	exp 13 from en
5	discard	0.1932±0.0252	0.2205±0.0318	0.3041±0.0300	0.3644±0.0321	0.1656±0.0238	lang only stopwords
6	keep	0.4034±0.0244	0.4370±0.0216	0.5562±0.0237	0.6007±0.0267	0.3584±0.0283	bigrams,google translator
7	keep	0.4288±0.0311	0.4719±0.0343	0.5918±0.0314	0.6329±0.0324	0.3849±0.0351	text+translate
8	discard	0.4342±0.0311	0.4664±0.0280	0.5815±0.0290	0.6390±0.0362	0.3872±0.0380	reorder title/abstract/venue,add authors
9	keep	0.4274±0.0297	0.4671±0.0341	0.5918±0.0217	0.6404±0.0255	0.3854±0.0319	speed optimizations
